DATE,Bananas,Bananas s/prod22,Proj_Bananas,Proj_Bananas 2,Proj_Bananas_Eloi,Bananas actuel,GDP,Inflation,Unemployment_Rate,LT_Interest_Rate,ST_Interest_RateE3m,Euribor1year,Unnamed: 13,Unnamed: 14,Idmes,Quarter,GDP.1,Inflation.1,Unemployment_Rate.1,LT_Interest_Rate.1,ST_Interest_Rate,Euribor1year.1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
201907.0,,,,,,,0.4,-0.7,6.6,0.44,-0.3649,-0.2833,,,2023-11,,0.6,2.2,6.7,3.3,3.97,4.0221,,,,,,,,,,,,,,
201908.0,,,,,,,0.4,-0.1,6.5,0.17,-0.4077,-0.3563,,,2023-12,,0.6,1.9,6.7,2.85,3.93,3.6699,,,,,,,,,,,,,,
201909.0,,,,,,,0.4,-0.3,6.6,0.2,-0.4176,-0.3391,,,2024-1,,0.6,2.5,6.8,2.97,3.93,3.6092,,,,,,,,,,,,,,
201910.0,,,,,,,0.8,-0.1,6.6,0.19,-0.4129,-0.3042,,,2024-2,,0.6,2.3,6.8,3.06,3.92,3.6705,,,,,,,,,,,,,,
201911.0,,,,,,,0.8,0.2,6.8,0.35,-0.4013,-0.272,,,2024-3,2024-Q1,0.6,2.6,6.32948949335385,3.02,3.92,3.7162,,,,,,,,,,,,,,
201912.0,,,,,,,0.8,0.4,6.9,0.41,-0.3947,-0.2614,,,2024-4,,0.4,2.3,6.34094475436928,3.13,3.89,3.7025,,,,,,,,,,,,,,
202001.0,,,,,,,-4.2,0.8,6.9,0.37,-0.3911,-0.2534,,,2024-5,,0.4,3.8,6.34094475436928,3.16,3.81,3.6821,,,,,,,,,,,,,,
202002.0,,,,,,,-4.2,0.5,6.5,0.25,-0.4088,-0.2881,,,2024-6,2024-Q2,0.4,3.1,6.34094475436928,3.19,3.72,3.6496,,,,,,,,,,,,,,
202003.0,,,,,,,-4.2,0.1,6.3,0.71,-0.4166,-0.2656,,,2024-7,,0.4,2.7,6.35153132114663,3.1,3.68,3.5259,,,,,,,,,,,,,,
202004.0,,,,,,,-15.0,-0.1,6.4,0.97,-0.254,-0.1082,,,2024-8,,0.4,1.8,6.35153132114663,2.88,3.55,2.239,,,,,,,,,,,,,,
202005.0,,,,,,,-15.0,-0.6,6.0,0.81,-0.272,-0.0814,,,2024-9,2024-Q3,0.4,2.6,6.35153132114663,2.78,3.43,2.239,,EURIBOR Forecast By Month.,Updated: 2024/11/22.,"EURIBOR FORECAST 2024, 2025, 2026 - Long Forecast",,,,,,EURIBOR Forecast By Month.,Updated: 2025/08/19.,,"EURIBOR FORECAST 2024, 2025, 2026 - Long Forecast",
202006.0,,,,,,,-15.0,0.2,7.5,0.53,-0.376,-0.1475,,,2024-10,,1.4,2.6,6.352873,2.93771296523183,3.17,2.239,,Month,Open,"Low-High,%%","Rate,%","Tot,Ch",,,,Month,Open,"Low-High,%%","Rate,%",Tot.Ch
202007.0,0.0434374417445682,0.0434374417445682,,,,0.03951803916327,14.4,-0.1,8.2,0.4,-0.4441,-0.2789,,,2024-11,,1.4,3.0129637,6.352873,2.93771296523183,3.42361471861472,2.547,,2024,,,,,,,,2025,,,,
202008.0,0.04013394693902253,0.04013394693902253,,,,0.03951803916327,14.4,-0.2,8.3,0.36,-0.4797,-0.3589,,,2024-12,2024-Q4,1.4,3.0129637,6.352873,2.93771296523183,3.42361471861472,2.488,,Nov,2.547,"2,339-2,704",2.488,-0.059,,,,Aug,2.126,1.920-2.192,2.056,-0.07
202009.0,0.040497163488207054,0.040497163488207054,,,,0.03951803916327,14.4,-0.8,8.1,0.32,-0.4914,-0.4146,,,2025-01,,-0.4,2.5845929,6.3407056,2.91771296523183,3.17361471861472,2.485,,Dec,2.488,"2,154-2,636",2.485,-0.062,,,,Sep,2.056,1.900-2.279,2.021,-0.105
202010.0,0.04128608640735776,0.04128608640735776,,,,0.03951803916327,0.2,-0.6,7.6,0.18,-0.5091,-0.466,,,2025-02,,-0.4,2.5845929,6.3407056,2.91771296523183,3.17361471861472,2.336,,2025,,,,,,,,Oct,2.021,1.950-2.198,2.074,-0.052
202011.0,0.04218794271976794,0.04218794271976794,,,,0.03951803916327,0.2,-0.4,7.2,0.07,-0.5209,-0.4806,,,2025-03,2025-Q1,-0.4,2.5845929,6.3407056,2.91771296523183,3.17361471861472,2.196,,Jan,2.485,"2,196-2,485",2.336,-0.211,,,,Nov,2.074,1.933-2.179,2.056,-0.07
202012.0,0.04247129951369718,0.04247129951369718,,,,0.03951803916327,0.2,-0.3,6.9,0.03,-0.5381,-0.4966,,,2025-04,,0.6,2.4013153,6.3032606,2.88771296523183,2.92361471861472,2.064,,Feb,2.336,"2,064-2,336",2.196,-0.351,,,,Dec,2.056,1.971-2.223,2.097,-0.029
202101.0,0.041920834853606155,0.041920834853606155,,,,0.03951803916327,-2.8,0.2,7.0,0.03,-0.5472,-0.5047,,,2025-05,,0.6,2.4013153,6.3032606,2.88771296523183,2.92361471861472,1.956,,Mar,2.196,"1,940-2,196",2.064,-0.483,,,,2026,,,,
202102.0,0.03910857083495201,0.03910857083495201,,,,0.03951803916327,-2.8,0.3,7.0,0.16,-0.5411,-0.5009,,,2025-06,2025-Q2,0.6,2.4013153,6.3032606,2.88771296523183,2.92361471861472,1.886,updated version,Apr,2.064,"1,839-2,073",1.956,-0.591,,,,Jan,2.097,1.853-2.097,1.971,-0.155
202103.0,0.0360468418675494,0.0360468418675494,,,,0.03951803916327,-2.8,0.1,6.8,0.23,-0.5391,-0.4867,,,2025-07,,1.85,2.3199071,6.2564356,2.84771296523183,2.67361471861472,1.894,2025-08-19 00:00:00,May,1.956,"1,773-1,999",1.886,-0.661,,,,Feb,1.971,1.785-2.013,1.899,-0.227
202104.0,0.02735523782542002,0.02735523782542002,,,,0.03951803916327,4.6,-0.1,7.1,0.35,-0.5382,-0.4835,,,2025-08,,1.85,2.3199071,6.2564356,2.84771296523183,2.67361471861472,1.908,2.126,Jun,1.886,"1,780-2,008",1.894,-0.653,,,,Mar,1.899,1.697-1.913,1.805,-0.321
202105.0,0.023559644871238,0.023559644871238,,,,0.03951803916327,4.6,0.5,7.2,0.53,-0.5401,-0.4806,,,2025-09,2025-Q3,1.85,2.3199071,6.2564356,2.84771296523183,2.67361471861472,1.867,2.056,Jul,1.894,"1,794-2,022",1.908,-0.639,,,,Apr,1.805,1.685-1.901,1.793,-0.333
202106.0,0.023568044510027367,0.023568044510027367,,,,0.03951803916327,4.6,-0.6,7.0,0.43,-0.5429,-0.4839,,,2025-10,,1.78,2.2181974,6.2095872,2.79771296523183,2.42361471861472,1.844,2.021,Aug,1.908,"1,755-1,979",1.867,-0.68,,,,May,1.793,1.681-1.895,1.788,-0.338
202107.0,0.025690669143998725,0.025690669143998725,,,,0.03951803916327,3.6,1.1,6.7,0.27,-0.5448,-0.4907,,,2025-11,,1.78,2.2181974,6.2095872,2.79771296523183,2.42361471861472,1.875,2.074,Sep,1.867,"1,733-1,955",1.844,-0.703,,,,Jun,1.788,1.624-1.832,1.728,-0.398
202108.0,0.025819416788303438,0.025819416788303438,,,,0.03951803916327,3.6,1.3,6.4,0.14,-0.5476,-0.4982,,,2025-12,2025-Q4,1.78,2.2181974,6.2095872,2.79771296523183,2.42361471861472,1.763,2.056,Oct,1.844,"1,763-1,988",1.875,-0.672,,,,Jul,1.728,1.527-1.728,1.624,-0.502
202109.0,0.02673670973575067,0.02673670973575067,,,,0.03951803916327,3.6,1.3,6.4,0.26,-0.545,-0.4923,,,2026-1,,1.79,,6.4,1.708,,2.097,,Nov,1.875,"1,657-1,875",1.763,-0.784,,,,Aug,1.624,1.435-1.624,1.527,-0.599
202110.0,0.02768909011051506,0.02768909011051506,,,,0.03951803916327,1.9,1.8,6.4,0.39,-0.5498,-0.4768,,,2026-2,,1.79,,6.4,1.637,,1.971,,Dec,1.763,"1,606-1,810",1.708,-0.839,,,,Sep,1.527,1.349-1.527,1.435,-0.691
202111.0,0.028446148389824785,0.028446148389824785,,,,0.03951803916327,1.9,2.6,6.3,0.39,-0.5674,-0.487,,,2026-3,2026-Q1,1.79,,6.4,1.624,,1.899,,2026,,,,,,,,Oct,1.435,1.278-1.442,1.36,-0.766
202112.0,0.029269147842478457,0.029269147842478457,,,,0.03951803916327,1.9,2.8,6.0,0.36,-0.582,-0.502,,,2026-4,,1.87,,6.4,1.639,,1.805,,Jan,1.708,"1,539-1,735",1.637,-0.91,,,,Nov,1.36,1.232-1.390,1.311,-0.815
202201.0,0.027318124162630037,0.027318124162630037,,,,0.03951803916327,1.7,3.4,5.9,0.58,-0.5601,-0.4767,,,2026-5,,1.87,,6.4,1.611,,1.793,,Feb,1.637,"1,527-1,721",1.624,-0.923,,,,Dec,1.311,1.237-1.395,1.316,-0.81
202202.0,0.02757890706795804,0.02757890706795804,,,,0.03951803916327,1.7,4.4,5.8,1.06,-0.5315,-0.3353,,,2026-6,2026-Q2,1.87,,6.4,1.591,,1.788,,Mar,1.624,"1,541-1,737",1.639,-0.908,,,,2027,,,,
202203.0,0.028314983742788034,0.028314983742788034,,,,0.03951803916327,1.7,5.5,5.9,1.16,-0.4954,-0.2374,,,2026-7,,1.95,,6.4,1.615,,1.728,,Apr,1.639,"1,514-1,708",1.611,-0.936,,,,Jan,1.316,1.246-1.406,1.326,-0.8
202204.0,0.032445718675921956,0.032445718675921956,,,,0.03951803916327,0.4,7.4,6.0,1.76,-0.4479,0.0131,,,2026-8,,1.95,,6.4,1.586,,1.624,,May,1.611,"1,496-1,686",1.591,-0.956,,,,Feb,1.326,1.220-1.376,1.298,-0.828
202205.0,0.03367987309294177,0.03367987309294177,,,,0.03951803916327,0.4,8.1,6.2,2.14,-0.3857,0.2866,,,2026-9,2026-Q3,1.95,,6.4,1.542,,1.527,,Jun,1.591,"1,518-1,712",1.615,-0.932,,,,Mar,1.298,1.205-1.359,1.282,-0.844
202206.0,0.03523706759947247,0.03523706759947247,,,,0.03951803916327,0.4,9,6.1,2.65,-0.2392,0.8522,,,2026-10,,1.97,,6.4,1.507,,1.435,,Jul,1.615,"1,491-1,681",1.586,-0.961,,,,Apr,1.282,1.226-1.382,1.304,-0.822
202207.0,0.03631740565529234,0.03631740565529234,,,,0.03951803916327,1.0,9.4,6.2,2.26,0.0366,0.9915,,,2026-11,,1.97,,6.4,1.493,,1.36,,Aug,1.586,"1,449-1,635",1.542,-1.005,,,,May,1.304,1.152-1.304,1.226,-0.9
202208.0,0.04138662177082369,0.04138662177082369,,,,0.03951803916327,1.0,9.3,6.2,2.16,0.3947,1.2495,,,2026-12,2026-Q4,1.97,,6.4,,,1.311,,Sep,1.542,"1,417-1,597",1.507,-1.04,,,,Jun,1.226,1.117-1.259,1.188,-0.938
202209.0,0.042502617789220015,0.042502617789220015,,,,0.03951803916327,1.0,9.8,6.2,2.89,1.0109,2.233,,,,,,,,,,,,Oct,1.507,"1,403-1,583",1.493,-1.054,,,,Jul,1.188,1.071-1.207,1.139,-0.987
202210.0,0.045631669561585965,0.045631669561585965,,,,0.03951803916327,0.5,10.6,6.1,3.26,1.4277,2.6294,,,,,,,,,,,,Nov,1.493,"1,346-1,518",1.432,-1.115,,,,Aug,1.139,1.062-1.198,1.13,-0.996
202211.0,0.05141802364225698,0.05141802364225698,,,,0.03951803916327,0.5,10.2,6.5,3.02,1.8252,2.8283,,,,,,,,,,,,,,,,,,,,,,,,
202212.0,0.05653786664960866,0.05653786664960866,,,,0.03951803916327,0.5,9.8,6.7,3.1,2.0635,3.0181,,,,,,,,,,,,,,,,,,,,,,,,
202301.0,0.05920714233439259,0.04524926768451931,,,,0.03951803916327,1.4,8.6,7.0,3.13,2.3449,3.337,,,,,,,,,,,,,,,,,,,,,,,,
202302.0,0.06451012070567354,0.0466290165656782,,,,0.03951803916327,1.4,8.6,6.9,3.27,2.6403,3.5336,,,,,,,,,,,,,,,,,,,,,,,,
202303.0,0.07118287823968052,0.048806110632199175,,,,0.03951803916327,1.4,8,6.8,3.27,2.9106,3.6466,,,,,,,,,,,,,,,,,,,,,,,,
202304.0,0.0768327113490039,0.04918562321157903,,,,0.03951803916327,0.2,6.9,6.5,3.2,3.167,3.7437,,,,,,,,,,,,,,,,,,,,,,,,
202305.0,0.08006416356491526,0.04899757063016868,,,,0.03951803916327,0.2,5.4,6.4,3.16,3.3664,3.8618,,,,,,,,,,,,,,,,,,,,,,,,
202306.0,0.08330227284746658,0.0500889343373958,,,,0.03951803916327,0.2,4.7,6.3,3.09,3.5359,4.0073,,,,,,,,,,,,,,,,,,,,,,,,
202307.0,0.08660961243960937,0.05172858178977953,,,,0.03951803916327,-0.1,4.3,6.3,3.23,3.6718,4.149,,,,,,,,,,,,,,,,,,,,,,,,
202308.0,0.0889405913297301,0.05098092344912922,,,,0.03951803916327,-0.1,5.3,6.3,3.31,3.7803,4.073,,,,,,,,,,,,,,,,,,,,,,,,
202309.0,0.08566398813010766,0.04592463453161455,,,,0.03951803916327,-0.1,4.8,6.6,3.45,3.88,4.1492,,,,,,,,,,,,,,,,,,,,,,,,
202310.0,0.08758793007386258,0.050326454586494394,,,,0.03951803916327,0.6,3.2,6.7,3.59,3.97,4.16,,,,,,,,,,,,,,,,,,,,,,,,
202311.0,0.0861815705174263,0.05224568142321263,,,,0.03951803916327,0.6,2.2,6.7,3.3,3.97,4.0221,,,,,,,,,,,,,,,,,,,,,,,,
202312.0,0.08270090018025199,0.044757069496038866,,,,,0.6,1.9,6.7,2.85,3.93,3.6699,,,,,,,,,,,,,,,,,,,,,,,,
202401.0,0.07811685954113846,0.04228034757753777,,,,0.0756582593889637,0.6,2.5,6.8,2.97,3.93,3.6092,,,,,,,,,,,,,,,,,,,,,,,,
202402.0,0.07854108568369075,0.04687165592447872,,,,0.0756582593889637,0.6,2.3,6.8,3.06,3.92,3.6705,,,,,,,,,,,,,,,,,,,,,,,,
202403.0,0.0799132486044541,0.050256146543610145,,,,0.0756582593889637,0.6,2.6,6.8,3.02,3.92,3.7162,,,,,,,,,,,,,,,,,,,,,,,,
202404.0,0.07604745884319598,0.04983693280736961,,,,0.0756582593889637,0.4,2.3,6.1,3.13,3.89,3.7025,,,,,,,,,,,,,,,,,,,,,,,,
202405.0,0.07336534971829622,0.0518368593655413,,,,0.0756582593889637,0.4,3.8,6.1,3.16,3.81,3.6821,,,,,,,,,,,,,,,,,,,,,,,,
202406.0,0.0747098298450407,0.05635412793981403,,,,0.0756582593889637,0.4,3.1,6.1,3.19,3.72,3.6496,,,,,,,,,,,,,,,,,,,,,,,,
202407.0,0.07245231096068575,0.05718647545153938,,,,0.0756582593889637,0.4,2.7,6.1,3.1,3.68,3.5259,,,,,,,,,,,,,,,,,,,,,,,,
202408.0,0.07255337959887313,0.05979432932522798,,,,0.0756582593889637,0.4,1.8,6.1,2.88,3.55,3.17,,,,,,,,,,,,,,,,,,,,,,,,
202409.0,0.06911603236032628,0.06038769972269802,,,,0.0756582593889637,0.4,2.6,6.1,2.78,3.43,2.94,,,,,,,,,,,,,,,,,,,,,,,,
202410.0,0.06483258723443719,0.06060979604389203,,,,0.0756582593889637,1.4,2.6,6.7,2.73,3.17,2.69,,,,,,,,,,,,,,,,,,,,,,,,
202411.0,0.06116930708801798,0.054368798962878044,,,,0.0756582593889637,1.4,2.7,6.7,2.79,3.01,2.51,,,,,,,,,,,,,,,,,,,,,,,,
202412.0,0.05817464663499984,0.053372002900559046,,,,0.0756582593889637,1.4,3.1,6.7,2.68,2.82,2.44,,,,,,,,,,,,,,,,,,,,,,,,
202501.0,0.060101463209308106,0.054706977734652544,,,,0.0756582593889637,-0.4,2.7,6.6,2.96,2.7,2.53,,,,,,,,,,,,,,,,,,,,,,,,
202502.0,0.05690314373432713,0.054916509076109246,,,,0.0756582593889637,-0.4,2.5,6.6,2.95,2.52,2.41,,,,,,,,,,,,,,,,,,,,,,,,
202503.0,0.05438435032550734,0.051889657562178206,,,,0.0756582593889637,-0.4,1.9,6.6,3.29,2.44,2.4,,,,,,,,,,,,,,,,,,,,,,,,
202504.0,0.056576463312127956,0.05566345643404247,,,,0.0756582593889637,0.6,2.1,5.9,3.11,2.25,2.14,,,,,,,,,,,,,,,,,,,,,,,,
202505.0,0.060178258710278404,0.060178258710278404,,,,0.0756582593889637,0.6,1.7,5.9,3.08,2.09,2.08,,,,,,,,,,,,,,,,,,,,,,,,
202506.0,0.056180351617684345,0.056180351617684345,,,0.056180351617684345,0.0756582593889637,0.6,2.1,5.9,3.02,1.98,2.08,,,,,,,,,,,,,,,,,,,,,,,,
202507.0,0.056817425436488954,0.056817425436488954,0.056817425436488954,0.056817425436488954,0.056817425436488954,0.0756582593889637,0.6,2.5,5.9,3.11,1.99,2.08,,,,,,,,,,,,,,,,,,,,,,,,
202508.0,,,0.052936720222384465,0.048041119795999995,0.060465,0.0756582593889637,1.85,2.5,6.2564356,2.84771296523183,2.67361471861472,1.908,,,,,,,,,,,,,,,,,,,,,,,,
202509.0,,,0.052851520222384464,0.047375419796,0.06012,0.0756582593889637,1.85,2.5,6.2564356,2.84771296523183,2.67361471861472,1.867,,,,,,,,,,,,,,,,,,,,,,,,
202510.0,,,0.05391994781038446,0.048043745151999995,0.058892,0.0756582593889637,1.78,2.5,6.2095872,2.79771296523183,2.42361471861472,1.844,,,,,,,,,,,,,,,,,,,,,,,,
202511.0,,,0.05391994781038446,0.048176885152,0.059153,0.0756582593889637,1.78,2.5,6.2095872,2.79771296523183,2.42361471861472,1.875,,,,,,,,,,,,,,,,,,,,,,,,
202512.0,,,0.05291827137838446,0.04778697515199999,0.058211,0.0756582593889637,1.78,2.5,6.2095872,2.79771296523183,2.42361471861472,1.763,,,,,,,,,,,,,,,,,,,,,,,,
202601.0,,,0.05302577849838447,0.04763539,0.061735,0.0756582593889637,1.79,2.5,6.4,1.708,2.42361471861472,2.097,,,,,,,,,,,,,,,,,,,,,,,,
202602.0,,,0.05302577849838447,0.0479302,0.060671,0.0756582593889637,1.79,2.5,6.4,1.637,2.42361471861472,1.971,,,,,,,,,,,,,,,,,,,,,,,,
